symbol,timestamp,open,high,low,close,volume,date
XXBTZUSD,1525651200,9605.0000,9626.7998,9200.0000,9360.5996,3988.3938,07/05/2018
XXBTZUSD,1525737600,9359.5996,9458.5996,9050.0000,9172.7002,3183.6744,08/05/2018
XXBTZUSD,1525824000,9178.2998,9464.0996,8960.0000,9305.4004,4520.0866,09/05/2018
XXBTZUSD,1525910400,9302.0000,9395.9004,8990.5000,9011.0000,3113.9915,10/05/2018
XXBTZUSD,1525996800,9009.7998,9009.7998,8325.0000,8407.7998,6857.0833,11/05/2018
XXBTZUSD,1526083200,8411.0000,8649.9004,8223.2002,8479.0000,5044.4390,12/05/2018
XXBTZUSD,1526169600,8478.7998,8749.5996,8317.9004,8698.2002,3361.1108,13/05/2018
XXBTZUSD,1526256000,8698.2002,8886.2998,8286.2998,8660.7998,6017.8891,14/05/2018
XXBTZUSD,1526342400,8661.5996,8862.0000,8421.0000,8462.7998,3875.2601,15/05/2018
XXBTZUSD,1526428800,8473.0996,8494.0000,8077.2998,8344.9004,6332.9338,16/05/2018
XXBTZUSD,1526515200,8345.7998,8500.0000,7978.7998,8064.0000,4246.8389,17/05/2018
XXBTZUSD,1526601600,8064.0000,8280.0000,7932.5000,8231.9004,4061.4474,18/05/2018
XXBTZUSD,1526688000,8231.9004,8394.0000,8160.2002,8233.7998,2247.5398,19/05/2018
XXBTZUSD,1526774400,8229.9004,8596.7002,8147.8999,8518.9004,2637.5413,20/05/2018
XXBTZUSD,1526860800,8524.9004,8596.5000,8292.4004,8390.7998,2902.6080,21/05/2018
XXBTZUSD,1526947200,8390.7998,8408.0000,7938.3999,7989.1001,4213.6030,22/05/2018
XXBTZUSD,1527033600,7989.2002,8038.2002,7440.6001,7500.2998,7842.8694,23/05/2018
XXBTZUSD,1527120000,7503.0000,7725.0000,7255.0000,7572.0000,6483.3189,24/05/2018
XXBTZUSD,1527206400,7575.7002,7650.0000,7286.7002,7466.0000,4734.8913,25/05/2018
XXBTZUSD,1527292800,7466.2998,7634.8999,7215.0000,7330.0000,2485.1781,26/05/2018
XXBTZUSD,1527379200,7325.0000,7388.0000,7212.1001,7325.8999,2167.3297,27/05/2018
XXBTZUSD,1527465600,7325.8999,7447.8999,7070.5000,7102.6001,4174.0083,28/05/2018
XXBTZUSD,1527552000,7102.7998,7530.2998,7051.0000,7462.6001,4828.0939,29/05/2018
XXBTZUSD,1527638400,7462.7998,7568.2998,7260.0000,7374.8999,3760.9211,30/05/2018
XXBTZUSD,1527724800,7372.5000,7599.2998,7330.2002,7485.6001,3358.2733,31/05/2018
XXBTZUSD,1527811200,7490.8999,7599.1001,7350.0000,7504.2002,3044.9760,01/06/2018
XXBTZUSD,1527897600,7504.0000,7693.6001,7434.2998,7636.1001,2475.2211,02/06/2018
XXBTZUSD,1527984000,7630.2002,7780.0000,7589.3999,7716.7998,1953.8392,03/06/2018
XXBTZUSD,1528070400,7716.0000,7759.1001,7442.0000,7495.5000,3146.3469,04/06/2018
XXBTZUSD,1528156800,7495.3999,7677.1001,7350.0000,7622.0000,3451.8919,05/06/2018
XXBTZUSD,1528243200,7622.0000,7695.0000,7482.6001,7659.7998,2983.1164,06/06/2018
XXBTZUSD,1528329600,7650.3999,7750.0000,7630.0000,7679.3999,1975.4404,07/06/2018
